"osm_id","access","addr:housename","addr:housenumber","addr:interpolation","admin_level","aerialway","aeroway","amenity","area","barrier","bicycle","brand","bridge","boundary","building","capital","construction","covered","culvert","cutting","denomination","disused","ele","embankment","foot","generator:source","harbour","highway","historic","horse","intermittent","junction","landuse","layer","leisure","lock","man_made","military","motorcar","name","natural","office","oneway","operator","place","population","power","power_source","public_transport","railway","ref","religion","route","service","shop","sport","surface","toll","tourism","tower:type","tunnel","water","waterway","wetland","width","wood","z_order","way"
8953451534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2365458.5283859833 5007810.96608677)
8848569319,,,,,,,,,,,,,,,,,,,,,,,"1916",,,,,,,,,,,,,,,,,Мала Грива,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2363583.062132895 5007803.491334415)
8953682487,,,,,,,,,,,,,,,,,,,,,,,"1975",,,,,,,,,,,,,,,,,,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2364365.003632074 5005781.4352851715)
8953682488,,,,,,,,,,,,,,,,,,,,,,,"1796",,,,,,,,,,,,,,,,,,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2364715.058902823 5006246.686033075)
8953682490,,,,,,,,,,,,,,,,,,,,,,,"2087",,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2366280.7452769317 5006075.1495926585)
8848292749,,,,,,,,,,,,,,,,,,,,,,,"2146",,,,,,,,,,,,,,,,,Скрково,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2367092.4981357455 5006587.365162149)
8941334420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2366873.399113966 5006009.333586394)
8945108163,,,,,,,,,,,,,,,,,,,,,,,"1883",,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2367995.4105255697 5006477.764564882)
8922179309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Студена Вода,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2368127.20167072 5006990.192975302)
8945092743,,,,,,,,,,,,,,,,,,,,,,,"1580",,,,,,,,,,,,,,,,,Зол Камен,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2369403.568688257 5007013.676791655)
